Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
hockey-romance-department-tote-bag,Hockey Romance Department — Canvas Tote Bag,"<p>You're not just a fan — you're an employee. <strong>Head of the Hockey Romance Department EST. 2026,</strong> responsible for reading every hockey romance ever written and staying up until 3am because of it.</p><p><strong>Product details:</strong> Heavyweight 100% cotton canvas tote bag with reinforced handles. Screen-printed design. One size. Interior capacity fits a 13&quot; laptop, books, and daily essentials.</p>",G'day Mate Co,Canvas Tote Bag,"off-campus,off campus,hockey romance,booktok,bookish merch,tote bag,canvas tote,gift for reader,gift for bookworm,hockey romance department,est 2026,department merch",TRUE,Title,Default Title,HOCKEY-ROMANCE-DEPT-TOTE,200,shopify,100,continue,manual,39.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/hockey-romance-dept-tote.jpg,1,Hockey Romance Department — Canvas Tote Bag,FALSE,Hockey Romance Department — Canvas Tote Bag | G'day Mate Co,Hockey Romance Department  Canvas Tote Bag. Off Campus inspired bookish merch. Heavyweight canvas tote bag.,active
hockey-romance-department-mug,Hockey Romance Department — 11oz Mug,<p><strong>Hockey Romance Department EST. 2026.</strong> Your office mug. Your department. Your slightly unhinged reading schedule.</p><p><strong>Product details:</strong> 11oz ceramic mug. Dishwasher and microwave safe. Screen-printed design on both sides.</p>,G'day Mate Co,Mug,"off-campus,off campus,hockey romance,booktok,bookish merch,mug,coffee mug,gift for reader,gift for bookworm,hockey romance department,est 2026,department merch",TRUE,Title,Default Title,HOCKEY-ROMANCE-DEPT-MUG,350,shopify,100,continue,manual,29.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/hockey-romance-dept-mug.jpg,1,Hockey Romance Department — 11oz Mug,FALSE,Hockey Romance Department — 11oz Mug | G'day Mate Co,"Hockey Romance Department  11oz Mug. Off Campus inspired bookish merch. 11oz ceramic mug, dishwasher safe.",active
jlo-maverick-endgame-tote-bag,JLO ♥ Maverick — Endgame — Canvas Tote Bag,"<p><strong>JLO ♥ Maverick. Endgame. Always.</strong> Carry your loyalty with you, because the heart wants what it wants — and it wants Maverick. Simple design, strong conviction.</p><p><strong>Product details:</strong> Heavyweight 100% cotton canvas tote bag with reinforced handles. Screen-printed design. One size. Interior capacity fits a 13&quot; laptop, books, and daily essentials.</p>",G'day Mate Co,Canvas Tote Bag,"off-campus,off campus,hockey romance,booktok,bookish merch,tote bag,canvas tote,gift for reader,gift for bookworm,jlo,maverick,jlo maverick,ship,endgame,character merch",TRUE,Title,Default Title,JLO-MAVERICK-ENDGAME-TOTE,200,shopify,100,continue,manual,39.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/jlo-maverick-endgame-tote.jpg,1,JLO ♥ Maverick — Endgame — Canvas Tote Bag,FALSE,JLO ♥ Maverick — Endgame — Canvas Tote Bag | G'day Mate Co,JLO ♥ Maverick  Endgame  Canvas Tote Bag. Off Campus inspired bookish merch. Heavyweight canvas tote bag.,active
jlo-maverick-endgame-mug,JLO ♥ Maverick — Endgame — 11oz Mug,<p><strong>JLO ♥ Maverick — Endgame.</strong> Every morning coffee is a reminder: this ship is sailing and it's not stopping.</p><p><strong>Product details:</strong> 11oz ceramic mug. Dishwasher and microwave safe. Screen-printed design on both sides.</p>,G'day Mate Co,Mug,"off-campus,off campus,hockey romance,booktok,bookish merch,mug,coffee mug,gift for reader,gift for bookworm,jlo,maverick,jlo maverick,ship,endgame,character merch",TRUE,Title,Default Title,JLO-MAVERICK-ENDGAME-MUG,350,shopify,100,continue,manual,29.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/jlo-maverick-endgame-mug.jpg,1,JLO ♥ Maverick — Endgame — 11oz Mug,FALSE,JLO ♥ Maverick — Endgame — 11oz Mug | G'day Mate Co,"JLO ♥ Maverick  Endgame  11oz Mug. Off Campus inspired bookish merch. 11oz ceramic mug, dishwasher safe.",active
watch-the-player-not-the-puck-tote-bag,"Watch the Player, Not the Puck — Canvas Tote Bag","<p><em>Watch the player, not the puck.</em> Words to live by — whether you're at an actual game or mainlining hockey romance novels at 2am. <strong>Hockey Romance Department EST. 2026.</strong></p><p><strong>Product details:</strong> Heavyweight 100% cotton canvas tote bag with reinforced handles. Screen-printed design. One size. Interior capacity fits a 13&quot; laptop, books, and daily essentials.</p>",G'day Mate Co,Canvas Tote Bag,"off-campus,off campus,hockey romance,booktok,bookish merch,tote bag,canvas tote,gift for reader,gift for bookworm,watch the player,hockey romance department,puck,hockey quote",TRUE,Title,Default Title,WATCH-THE-PLAYER-TOTE,200,shopify,100,continue,manual,39.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/watch-the-player-tote.jpg,1,"Watch the Player, Not the Puck — Canvas Tote Bag",FALSE,"Watch the Player, Not the Puck — Canvas Tote Bag | G'day Mate Co","Watch the Player, Not the Puck  Canvas Tote Bag. Off Campus inspired bookish merch. Heavyweight canvas tote bag.",active
watch-the-player-not-the-puck-mug,"Watch the Player, Not the Puck — 11oz Mug","<p><em>Watch the player, not the puck.</em> The most important advice ever given. Let this mug remind you of your priorities every single morning.</p><p><strong>Product details:</strong> 11oz ceramic mug. Dishwasher and microwave safe. Screen-printed design on both sides.</p>",G'day Mate Co,Mug,"off-campus,off campus,hockey romance,booktok,bookish merch,mug,coffee mug,gift for reader,gift for bookworm,watch the player,hockey romance department,puck,hockey quote",TRUE,Title,Default Title,WATCH-THE-PLAYER-MUG,350,shopify,100,continue,manual,29.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/watch-the-player-mug.jpg,1,"Watch the Player, Not the Puck — 11oz Mug",FALSE,"Watch the Player, Not the Puck — 11oz Mug | G'day Mate Co","Watch the Player, Not the Puck  11oz Mug. Off Campus inspired bookish merch. 11oz ceramic mug, dishwasher safe.",active
allie-cat-energy-chaotic-good-tote-bag,Allie Cat Energy — Chaotic Good — Canvas Tote Bag,"<p>Chaotic good. That's the <strong>Allie Cat Energy</strong> — unpredictable, a little unhinged, oddly magnetic, and always the most interesting person in the room.</p><p><strong>Product details:</strong> Heavyweight 100% cotton canvas tote bag with reinforced handles. Screen-printed design. One size. Interior capacity fits a 13&quot; laptop, books, and daily essentials.</p>",G'day Mate Co,Canvas Tote Bag,"off-campus,off campus,hockey romance,booktok,bookish merch,tote bag,canvas tote,gift for reader,gift for bookworm,allie cat,allie,chaotic good,character merch,alignment",TRUE,Title,Default Title,ALLIE-CAT-ENERGY-TOTE,200,shopify,100,continue,manual,39.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/allie-cat-energy-tote.jpg,1,Allie Cat Energy — Chaotic Good — Canvas Tote Bag,FALSE,Allie Cat Energy — Chaotic Good — Canvas Tote Bag | G'day Mate Co,Allie Cat Energy  Chaotic Good  Canvas Tote Bag. Off Campus inspired bookish merch. Heavyweight canvas tote bag.,active
allie-cat-energy-chaotic-good-mug,Allie Cat Energy — Chaotic Good — 11oz Mug,"<p><strong>Allie Cat Energy: Chaotic Good.</strong> Your alignment is confirmed. Drink coffee, cause chaos, repeat.</p><p><strong>Product details:</strong> 11oz ceramic mug. Dishwasher and microwave safe. Screen-printed design on both sides.</p>",G'day Mate Co,Mug,"off-campus,off campus,hockey romance,booktok,bookish merch,mug,coffee mug,gift for reader,gift for bookworm,allie cat,allie,chaotic good,character merch,alignment",TRUE,Title,Default Title,ALLIE-CAT-ENERGY-MUG,350,shopify,100,continue,manual,29.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/allie-cat-energy-mug.jpg,1,Allie Cat Energy — Chaotic Good — 11oz Mug,FALSE,Allie Cat Energy — Chaotic Good — 11oz Mug | G'day Mate Co,"Allie Cat Energy  Chaotic Good  11oz Mug. Off Campus inspired bookish merch. 11oz ceramic mug, dishwasher safe.",active
currently-dating-a-fictional-man-tote-bag,Currently Dating a Fictional Man — Canvas Tote Bag,"<p>In a relationship. It's complicated. He's fictional. Carry this tote and let the world know you're taken — you've got a book boyfriend and real people can't compete.</p><p><strong>Product details:</strong> Heavyweight 100% cotton canvas tote bag with reinforced handles. Screen-printed design. One size. Interior capacity fits a 13&quot; laptop, books, and daily essentials.</p>",G'day Mate Co,Canvas Tote Bag,"off-campus,off campus,hockey romance,booktok,bookish merch,tote bag,canvas tote,gift for reader,gift for bookworm,currently dating,fictional man,book boyfriend,bookish",TRUE,Title,Default Title,CURRENTLY-DATING-FICTIONAL-TOTE,200,shopify,100,continue,manual,39.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/currently-dating-fictional-tote.jpg,1,Currently Dating a Fictional Man — Canvas Tote Bag,FALSE,Currently Dating a Fictional Man — Canvas Tote Bag | G'day Mate Co,Currently Dating a Fictional Man  Canvas Tote Bag. Off Campus inspired bookish merch. Heavyweight canvas tote bag.,active
currently-dating-a-fictional-man-mug,Currently Dating a Fictional Man — 11oz Mug,<p>Your relationship status is <strong>currently dating a fictional man</strong> and you're not taking questions about it. This mug gets it.</p><p><strong>Product details:</strong> 11oz ceramic mug. Dishwasher and microwave safe. Screen-printed design on both sides.</p>,G'day Mate Co,Mug,"off-campus,off campus,hockey romance,booktok,bookish merch,mug,coffee mug,gift for reader,gift for bookworm,currently dating,fictional man,book boyfriend,bookish",TRUE,Title,Default Title,CURRENTLY-DATING-FICTIONAL-MUG,350,shopify,100,continue,manual,29.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/currently-dating-fictional-mug.jpg,1,Currently Dating a Fictional Man — 11oz Mug,FALSE,Currently Dating a Fictional Man — 11oz Mug | G'day Mate Co,"Currently Dating a Fictional Man  11oz Mug. Off Campus inspired bookish merch. 11oz ceramic mug, dishwasher safe.",active
emotionally-attached-to-fictional-men-tote-bag,Emotionally Attached to Fictional Men — Canvas Tote Bag,"<p><strong>Emotionally attached to fictional men. And I'm fine with it.</strong> Carries more character than any real situationship. This tote knows exactly who you are and it supports you.</p><p><strong>Product details:</strong> Heavyweight 100% cotton canvas tote bag with reinforced handles. Screen-printed design. One size. Interior capacity fits a 13&quot; laptop, books, and daily essentials.</p>",G'day Mate Co,Canvas Tote Bag,"off-campus,off campus,hockey romance,booktok,bookish merch,tote bag,canvas tote,gift for reader,gift for bookworm,emotionally attached,fictional men,book boyfriend,bookish",TRUE,Title,Default Title,EMOTIONALLY-ATTACHED-TOTE,200,shopify,100,continue,manual,39.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/emotionally-attached-tote.jpg,1,Emotionally Attached to Fictional Men — Canvas Tote Bag,FALSE,Emotionally Attached to Fictional Men — Canvas Tote Bag | G'day Mate Co,Emotionally Attached to Fictional Men  Canvas Tote Bag. Off Campus inspired bookish merch. Heavyweight canvas tote bag.,active
emotionally-attached-to-fictional-men-mug,Emotionally Attached to Fictional Men — 11oz Mug,<p><strong>Emotionally attached to fictional men. And I'm fine with it.</strong> Your morning ritual confirmed. No notes.</p><p><strong>Product details:</strong> 11oz ceramic mug. Dishwasher and microwave safe. Screen-printed design on both sides.</p>,G'day Mate Co,Mug,"off-campus,off campus,hockey romance,booktok,bookish merch,mug,coffee mug,gift for reader,gift for bookworm,emotionally attached,fictional men,book boyfriend,bookish",TRUE,Title,Default Title,EMOTIONALLY-ATTACHED-MUG,350,shopify,100,continue,manual,29.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/emotionally-attached-mug.jpg,1,Emotionally Attached to Fictional Men — 11oz Mug,FALSE,Emotionally Attached to Fictional Men — 11oz Mug | G'day Mate Co,"Emotionally Attached to Fictional Men  11oz Mug. Off Campus inspired bookish merch. 11oz ceramic mug, dishwasher safe.",active
fake-dating-club-official-member-tote-bag,Fake Dating Club — Official Member — Canvas Tote Bag,"<p>Official member. Certified. <strong>Fake Dating Club.</strong> You know exactly how this trope ends — enemies start fake dating, catch feelings, and suddenly it's very real. Wear the badge proudly.</p><p><strong>Product details:</strong> Heavyweight 100% cotton canvas tote bag with reinforced handles. Screen-printed design. One size. Interior capacity fits a 13&quot; laptop, books, and daily essentials.</p>",G'day Mate Co,Canvas Tote Bag,"off-campus,off campus,hockey romance,booktok,bookish merch,tote bag,canvas tote,gift for reader,gift for bookworm,fake dating,fake dating trope,trope merch,official member",TRUE,Title,Default Title,FAKE-DATING-CLUB-TOTE,200,shopify,100,continue,manual,39.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/fake-dating-club-tote.jpg,1,Fake Dating Club — Official Member — Canvas Tote Bag,FALSE,Fake Dating Club — Official Member — Canvas Tote Bag | G'day Mate Co,Fake Dating Club  Official Member  Canvas Tote Bag. Off Campus inspired bookish merch. Heavyweight canvas tote bag.,active
fake-dating-club-official-member-mug,Fake Dating Club — Official Member — 11oz Mug,<p><strong>Fake Dating Club — Official Member.</strong> You've read every variation of this trope and you will read every future one. The mug is your credential.</p><p><strong>Product details:</strong> 11oz ceramic mug. Dishwasher and microwave safe. Screen-printed design on both sides.</p>,G'day Mate Co,Mug,"off-campus,off campus,hockey romance,booktok,bookish merch,mug,coffee mug,gift for reader,gift for bookworm,fake dating,fake dating trope,trope merch,official member",TRUE,Title,Default Title,FAKE-DATING-CLUB-MUG,350,shopify,100,continue,manual,29.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/fake-dating-club-mug.jpg,1,Fake Dating Club — Official Member — 11oz Mug,FALSE,Fake Dating Club — Official Member — 11oz Mug | G'day Mate Co,"Fake Dating Club  Official Member  11oz Mug. Off Campus inspired bookish merch. 11oz ceramic mug, dishwasher safe.",active
i-love-roller-coasters-tote-bag,I F*cking Love Roller Coasters — Canvas Tote Bag,"<p>No notes. Zero regrets. Whether it's the thrill ride at the park or the emotional spiral of a 400-page slow burn — you are <strong>completely here for all of it.</strong></p><p><strong>Product details:</strong> Heavyweight 100% cotton canvas tote bag with reinforced handles. Screen-printed design. One size. Interior capacity fits a 13&quot; laptop, books, and daily essentials.</p>",G'day Mate Co,Canvas Tote Bag,"off-campus,off campus,hockey romance,booktok,bookish merch,tote bag,canvas tote,gift for reader,gift for bookworm,roller coasters,rollercoasters,funny,slow burn,emotional",TRUE,Title,Default Title,LOVE-ROLLERCOASTERS-TOTE,200,shopify,100,continue,manual,39.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/love-rollercoasters-tote.jpg,1,I F*cking Love Roller Coasters — Canvas Tote Bag,FALSE,I F*cking Love Roller Coasters — Canvas Tote Bag | G'day Mate Co,I F*cking Love Roller Coasters  Canvas Tote Bag. Off Campus inspired bookish merch. Heavyweight canvas tote bag.,active
